Question ID,Question,Answers
98,How can Gi Group support the client with cost savings?,"The biggest direct cost saving by far is generated by the migration of the temporary workers, from the incumbent supplier(s), towards Gi Group against a strong reduced migration multiplier for all profiles. The magnitude of this cost saving is easy to calculate by the client. \nIf the client is doing the planning and pool management itself, we estimate the saving we can generate from planning and pool management is somewhere between 5% – 10% of the total spend of hours within this part.\nWhen it comes to cost saving, Gi Group works from the principle of Total Cost of Ownership (TCO). We developed a model for TCO that enables us to analyse our client’s core processes and filter and reduce or eliminate bottlenecks.  \nWe also perform a Fresh Eyes Review every 18 months, to stay sharp and proactive in the cooperation with the client. Because the actual DNA of Gi Group was created after the takeover of Worknet, the onsite internal staffing agency of FIAT CHRYSLER AUTOMOBILES, our culture is lean from the start.\nExperience with manufacturing companies teaches us that we can divide cost savings in two groups: \n1. Core processes: 90% of cost savings can be realized in direct costs for example reduce number of hours and supplementary hours by planning and pool management, onetime cost saving through migration of the current flex workers against a payroll multiplier and reduce absence and now show rates by introducing loyalty incentives and training programmes for temporary workers.\n2. Non-Core processes: about 10% of cost savings can be realized in indirect costs. The Master Vendor model is well equipped to generate cost savings in these non-core processes. \nFrom our work ethics and DNA we find it important to:\n• Work from the principle of the DMAIC cycle from (Lean) Six Sigma;\n• Involve Gi Group colleagues from other countries, to actively share their knowledge and experience;\n• Involve the client’s employees from other locations / countries, to actively share their knowledge and experience.\nFor the cost saving in the field of non-core processes, mentioned in group 2, we propose to implement a Master Vendor model. Implementing a master vendor generates savings in the fields of:\n• Contract Management (co-vendors)\n• Workforce Management (temporary workers)\n• Planning en pool management\n• Hour tracking (one flow)\n• Invoicing (one flow)"
99,Could you describe the proces of pre-selection during recruitment?,"Pre-selection of candidates is centraly organised and is being performed by our Central Recruitment Team. This means our Onsite Consultant only receives CV's of candidates which already match the hard- and soft factors the client demands. This contributes to operational efficiency. Previous to the pre-selection Gi Group and the client determine the generic and specific requirements regarding the selection. The hard facts (salary, certification, distance, language, transportation, flexibility, availability, experience) are discussed between the recruiter and the candidate. Apart from that we look for candidates matchin with the client's culture and values. Through this procedure we guarantee a 100% match on hard and soft facts , through which the candidate quickly finds his/her way regarding tasks, procedures and culture and will therefor quickly be productive. Through interviews we gather information on behaviour, knowlegde and certain competences which need to be developed. If required we can complement the selection process with an assessment or skilltest."
100,What does your service model look like?,"We designed our temping service model around our logistic clients and made it very efficient and scalable, because we centralized all tasks that allow themselves to be centralized, by running the departments:\n• Central Recruitment Team: sourcing, screening, selecting, reference checks, plan the interviews for the On-Site team;\n• Central Admin Team: salary payment, 1st line for questions, sickness, leave, contracting, hour processing, audits;\n• Central Planning Team: planning (closely with the On-Site team), no show replacement.\nOur On-Site team consists of On-Site Managers (we call them Onsite Consultants), that are fully focused on Workforce Management and Account management, because the other tasks are being done by the centralized divisions. Besides this, we work with Shift Supervisors (we call them Caretakers), that manage most of the operational tasks during shifts on the work floor."
101,What are your unique capabilities?,o Data driven organization;\no Balanced workforce mix between locals and people from a wide range of other countries;\no Partnership for full HR cycle.
102,What is your team structure and could you give a brief desription of each teammember?,"Solution Manager\nInvolvement starts in the RFP phase, when designing the solution and will work closely with the implementation manager and On-Site team during start-up phase. Will be involved during the contract when we face changes and growth.\nImplementation Manager\nWill have a leading role, during implementation phase, working closely with the Solution Manager. Knows the processes, systems and Dutch legislation by head. Works within strict and uniform processes, that have been fine-tuned to operational excellence, by the high number of implementation done over the years.\nAccount Director\nOversees the partnership from a tactical and strategical perspective. Is a member of the Dutch board, so has very short lines within the organization. Is present at quarterly and yearly evaluations.\nOperations Manager\nIs managing the On-Site team and partially the centralized divisions. The Operations Manager will be present at the quarterly and yearly reviews, to review and improve the partnership between Gi Group and Client. The Operations Manager also acts as level 2 escalation point.\nCentral Recruitment Team\nThis team support the On-Site team with recruitment activities, like; job posting, recruitment marketing campaigns, sourcing, screening, selecting, reference checks and planning of the final interviews with the On-Site Manager. The team also takes care of the Client talent pools.\nCentral Admin Team\nThis team supports the On-Site team regarding back-office, like; salary payment, hour processing, sickness & leave management, etc. and is also the 1st line of contact for temps regarding administrative questions.\nCentral Planning Team\nThis team support the On-site team with the planning, pool management and the replacement of no shows. For our cross-border temps, they also take care of the planning of housing and transport.\nFinance Team\nI responsible for the invoicing process, debt management and controlling activities for Client.\nOn-Site Team\nThe On-Site team; On-Site Manager (1 FTE), Shift Supervisors (3 FTE) and On-Site Support (1 FTE)  are covering all the tasks as described by Client in the document “NL_Onsite_Management”. The team as a whole, will also cover the 24/7 reachability demand that comes with the 5-shift rotation model, that will be applicable in The Netherlands. If the volume of Client exceeds 50 FTE, we can consider an extra On-Site Manager, but in our service model, where the On-Site team is supported by centralized departments, we often can reach 75 FTE with 1 On-Site Manager."
103,Could you descripe you recruitment and sourcing strategy?,"Our sourcing strategy is based on a smart mix of channels & tools for reaching out to relevant active and inactive candidates on the market. The aim is to reach out, select and keep the best candidates available in the area of the Client. Gi Group has a Central Recruitment Team (CRT). This is a centralized and specialized recruitment team based in our HQ in Amsterdam. Thanks to the CRT, we are able to scale up and down very quickly for our customers, because we can schedule recruiters in a timeframe of 3 hours for our customers in The Netherlands. The CRT is responsible for recruitment, pre-selection, reference checks, talent poolmanagement and the arrangement of face-to-face conversations for our On-Site tea,. The CRT makes use of the latest IT applications and, in addition to the traditional telephone line, also makes extensive use of WhatsApp (messages / video), text message, Facebook and FaceTime."
104,How do you attract candidates?,"• Nurturing databases of active and latent seeking candidates and employees for return.\n• Gi Group can also use references as a recruitment channel. We motivate our candidates with incentives in the form of value coupons during our tell-a-friend referral recruitment actions.\n• Gi Group can also pay the temps who stay on-board until the end of the peak season a retention fee.\n• Display advertising.\n• Banners on websites with specified target group affinity, corresponding with geographical data .\n• Action-driven landing pages that focus on the traffic and provide application points to the candidates:\no First mobile design of these landing pages.\no Fast application process & flexible application form."
105,Could you give us some examples of offline recruitment channels you use?,"• The back of the bus and/or bus stop posters.\n• Hand-out leaflets, posters at schools, universities, student hotels and industrial areas.\n• Advertising in local papers, magazines and local sponsoring, etc."
106,How do you attract and recruit good candidates? What software and data sources do you use?,"In a rapidly changing market, it is necessary to keep renewing and innovating. Smartphones, Big Data, Smart Analytics, Social Media, Communities, Machine Learning and Apps have become part of our lives. For recruitment, Gi Group uses the most innovative online channels, trusted and effective offline channels and other modern tools. We use the Applicant Tracking Software to increase the productivity of our Recruiters, and to manage the entire recruitment funnel and registration process. Nevertheless, we make use of the Intelligence Group software, which enables us to have an insight on the market and a complete analysis of it. Also, Gi Group has a lot of experience in the area the region and knows it by heart. By AB-testing and analyzing all our data, we have developed a strong understanding of which campaigns and recruitment channels are the most successful per target group, geographical area and profile. Our current strategy is that we constantly hunt for the best candidates, instead of a passive approach where you wait for applications on the job advertisements and only use the existing database."
107,How do you use attificial intelligence (AI) to analyse data and apply machine learning in you recruitment proces?,"We use Artificial Intelligence (AI) and machine learning for the pre-screening of candidates that apply to one of our open vacancies. When a candidate applies to one of our job profiles or registers itself on our website, AI will pre-screen the candidate that results into a ranking. The candidates with the highest ranking appear on top of the dashboard of the recruitment team, so the recruiters can make choices that are based on the work that has already been done by AI. The ranking of the AI is based on the following criteria:\n• Candidate profile;\n• Vacancy profile;\n• Comparison with other candidates in the database;\n• Account profile.\nWhile AI assess and compares all these criteria’s, the outcome is a ranking within a scale. The more candidates go through our system, the smarter the AI gets by machine learning. The advantage for Client is, we increase the quality of our process and candidates on a standardized way, for the entire recruitment team."
108,What IT landscape do you use to provide you services and gather and analyse data? Do you have dashboards for the Client and candidates?,"Gi Group uses Mysolution, the best all-in-one HR solution for agencies available on the Dutch market, where front-, mid- and back office data are integrated in one system on the Salesforce platform. All our functionalities are integrated in the same environment, so we support a full life-cycle of the data and connect all the dots. Instead of only using the standard Mysolution functionalities, we added a big number of supporting applications like; Salesforce Einstein, OnRecruit, Company.info, Jobdigger, Intelligence Group, Avnio, InGoedeBanen, etc. Another valuable application of Mysolution, is that we can build a custom made portal for Client, where we can share all relevant real-time data in the Salesforce environment like a real-time planning overview, management reports, KPI dashboards and vacancy tracking, but also more basic data like; average hourly rate, average multiplier, the amount of hours per type per week per department, etc."
109,Could you mention one innovation on the recruitment side of your company?,"We have integrated the NIXZ recruitment robot in our process, to automate easy repetitive tasks. Once we have learned NIXZ what to do, the robot takes over basic tasks from our recruitment department. When we give the NIXZ robot a vacancy, it checks the Indeed database for suited candidates, checks of the candidates are already in our system, if yes; it checks if the candidates do not already have an assignment, if yes; it sends out an automatized message by WhatsApp/email if the candidate wants to work for your group, if no; it asks a recruiter to send a message from the Indeed platform. The advantage for Client, is that we are able to scale up over 35% more rapidly because the robot takes over repetitive tasks."
110,What planning tool / software could you provide to the Client?,"Gi Group Netherlands has its own planning software, that we can offer free of charge to Client. It offers a wide variety of functionalities. Besides people, we also plan our cars park and housing locations we use for our cross-border candidates. We can tag candidates based on competences, geography, availability, certificates, experience, positions, etc. The planning tool also supports the management of different layers of temps in de Client pool, like; fixed employees, fulltime temps, part-time temps, “on-call” temps. \nAll Client stakeholders that are involved in the planning process, will also get access to the plannin through an Client portal, as well as the temps though their own portal. Besides direct contact with the onsite team about the planning, the software also has a self-support functionality (highly automated) and features and an advances ticket system."
111,What other IT tools/applications do you make use of in relation to data?,"Everyone in our organization, has access to a selection of Business Intelligence tools and the Data Warehouse of Salesforce Einstein, within Mysolution, our full-cycle HR platform. We can also see data from external sources and internal sources. Some examples of data of external sources, that are imbedded in Mysolution are:\n• Intelligence Group / Jobdigger\nThese tools provides a target group dashboard, where we can find all data from several sources and provides us with supply analysis, labor market analysis and target group analysis on a very detailed level. We can even see employment conditions of Client’s competitors in the same region, looking for the same profiles, but also push and pull factors, connected to these profiles. The possibilities are limitless. With these BI tools, we can rapidly see changes in labor market, competition and economic changes.\n• Company.info \nBy integration of business intelligence tool Company.info in Mysolution, our employees have direct access to Dutch company data that we transform into comprehensive, clear and reliable information, with news and predictive insights about companies and its directors. Company.info provides Gi Group with:\n• Sharp insights into customers and markets;\n• Leads with the highest probability of conversion;\n• News alerts about customers and prospects.\n\n• Salesforce Einstein analytics (data warehouse)  \nSalesforce Einstein and it’s Datawarehouse, is the heart of our organization. Is brings together all data streams and the Artificial Intelligence functionality gives us the possibility to atomize processes and predict possible outcomes. Salesforce Einstein is an extension of our standard Salesforce configuration where we can link the data from Salesforce with data from our finance software Business central. This link enables us to create reports with data from both environments. For Client, we build a custom made portal on the Mysolution platform in the Salesforce environment, with dashboards to monitor KPIs, figures and other relevant information."
112,How big is the coverage of Gi Group worldwide?,"The Group is active in the fields of temporary and permanent staffing, search and selection, HR consulting and training, as well as in a variety of complementary activities. Thanks to direct presence and strategic partnership, it operates in more than 57 countries across Europe, Asia, Africa and America.                                                                                      Ranked globally as one of the largest staffing firms by Staffing Industry Analysts, the Group is also a Global Corporate Member of WEC (World Employment Confederation), the International Confederation of Private Employment Agencies.\nIn 2020 Gi Group supplied over 20,000 companies, with a turnover of 2,52 billion Euros.                                                                               \n\nToday Gi Group is active in:\n• More than 57 countries;\n• More than  500 Branches and SMS (site managed service);\n• 110 SMS;\n• 5.300 Direct employees."
113,In which countries is Gi Group present worldwide?,"Direct presence\nArgentina, Brazil, Bulgaria, China, Colombia, Croatia, Czech R, France, Germany, Hungary, India, Ireland, Italy, Lithuania, Montenegro, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Switzerland, The Netherlands, Turkey, UK, Ukraine, USA (only outplacement).  \nIndirect presence \nAlbania, Armenia, Azerbaijan, Belarus, Belgium, Chile, Costa Rica, Cyprus, Dominican R., Egypt, El Salvador, Finland, Greece, Guatemala, Honduras, Kazakhstan, Nicaragua, Norway, Mexico, Panama, Peru, South Africa, Sweden, Switzerland, United Emirates"
114,What is the history of Gi Group?,"1998 - Birth of Générale Industrielle. ? 2004 - Acquisition of WorkNet, the employment agency of Fiat Group.  The new entity becomes the first Italian player, with a turnover of 320 million Euros and 190 branches. ? 2005 - The group enters the outplacement business (DBM Italia). ? 2007 - The group begins its international expansion with acquisitions in Germany and Poland. ? 2008 - Générale Industrielle and WorkNet merge into one brand: Gi Group, the biggest Italian job agency, providing temporary staffing, Search and Selection, training, outplacement, insourcing and outsourcing, HR Consultancy and payrolling. The expansion program goes on: China and Hong Kong, France, Brazil, Spain and India. ? 2009 - Gi Group makes an important acquisition in Romania. ? 2010 - Gi Group establishes a presence in Argentina. At the end of the year Gi Group joins CIETT, the world association of employment agencies, as a Global Corporate Member. ? 2011 - Gi Group makes an important acquisition in the UK market and enters in Eastern Europe. On December 1st, 2011, DBM Italy was rebranded and became INTOO. ? 2012 - In 2012 Asset Management, a company specializing in training and staff development systems, became part of the Group. ? 2013 - Since February, the HR Consulting practice becomes international and unified under a single brand, OD&M Consulting. In May, the mid-level search and selection practice is rebranded and by the end of the year it is run entirely under the one Wyser trade name. ? 2014 - Gi Group enlarges its presence in several countries thanks to partnership agreements. Gi Group also establishes a direct presence in Turkey. ? 2015 - New opening – Portugal, Netherlands and Slovakia. ? 2016 - Acquisition of TACK and TMI; New opening – Columbia. ? 2018 - Acquisition of Grafton Recruitment and Marks Sattin. ? 2019 – Acquisition of Ontime and House of Jobs Recruitment. ? 2020 – Acquisition of CareerArc, Grupo Norte, Work Service and Kelly Brazil."
115,What is the geographical coverage of Gi Group in the Netherlands?,"Gi Group The Netherlands, active with its brands since 2015, operates from the headquarters in Amsterdam where also a branch is located. Our location is less than 20 kilometres form the Location. Besides our headquarters, we have over 30 SMS (Site Managed Service). Gi Group.\nWith our model Gi Group provides, in addition to traditional staffing services, more personalised projects like the SMS (Site Managed Services, in which we carry out activities and constantly monitor operations directly at the customer's site) and Permanent Professional Recruitment (Search & Selection).\nFrom our headquarters in Amsterdam we have centralized the recruitment, planning and back-office."
116,Could you give a general discription of Gi Group Holding International?,"Over the years, the Group has changed from being a local temporary labor provider to a global provider, with a diversified range of HR solutions and geographical markets. \n\nHaving invested in the past years to consolidate its presence worldwide, Gi Group is now ready to benefit from sales growth that will lead to margin increase in the countries where Gi Group has a longstanding presence.\nThe route to achieving Group’s purposes requires significant expansion investment, which started in the previous decade, to implement the Group’s commercial strategy, which sets out:\n• the Group’s presence in new markets, through acquisitions or opening start-ups directly;\n• expanded geographic coverage, by opening new branches;\n• supported growth, in terms of volumes and market share;\n• consolidated Group presence in some markets, also through acquisitions (to increase market share or to start new business lines);\n• increased value proposition for customers, by starting new business lines thanks to synergies generated by an already existing organization;\n• business models, processes, systems, in general, all the infrastructure necessary to organize the Group’s activities under one global image, “One Company”.\nThe activities, economics and strategies connected to some relevant Countries are described in the following paragraphs aimed at showing the Group’s trend of the last two Years (figures FY 2020 are provisional).\nGi Group Netherlands is the employment agency in Netherlands, operating since 2015 and it had a trend of growth in commercial Temporary and Permanent Search and Selection activities.\n\nThe focus on large corporate customers has led to satisfying results, particularly in terms of volumes in the logistics division. Activities have been diversified and Gi Group has started to provide assistance to Contact Centre customers on a large scale.\n\nIn 2019, new business services were offered under the Grafton brand, with particular emphasis on the Finance & Accounting, Logistic & Supply Chain, Office & HR, Sales & Marketing and IT sectors, and new Search and Selection businesses were approached. In 2020 we onboarded mainly new customers. Working in the new world effected by Covid we adopted our methods and structure slightly, but the already strategy of centralisation and digitalization were a good base to start on. Despite Covid we doubled our activities in The Netherlands during 2020. We also strengthen our national footprint and innovated our HR solutions, as well in regard to the new legislation (WAB) that is applicable from January, 1st 2020, as from an IT client value perspective.\n\nDuring the financial year, the existing Gi Group company changed its name to Gi Group Temp, to dedicate itself completely to Temporary Staffing, and the Group has established 2 new companies dedicated to Permanent Staffing and Freelancing businesses. The three companies have been brought together under Gi Group Holding B.V., the newly-formed Dutch holding company. \n\nVarious objectives were fixed:\n• to develop the Temporary Staffing business,\n• to generate profitability via Specialist Recruitment activities under the Grafton brand and in the Fashion & Luxury sector,\n• to begin an international mobility program in support of Temporary Staffing activities,\n\nIn 2019 Gi Group Netherlands revenues totalled +93,7% compared to FY 2018 and an increase also in figures 2020: +97,7% towards FY 2019. \n\nGi Group has a global vision of the development of the market:\n• We aim to act as an innovative response to Corporate companies (multinationals with a large presence on a global scale),\n• Gi Group's focus is on the need to combine service and competitiveness with solutions able to intercept the needs of the market - in this phase of the increasingly candidate-driven world economy - through strategies in concert with the client, that take into consideration the demands coming from the increasingly magmatic labor market.\n\nIn 2019 Group revenues totalled +13.1% compared to FY 2018 and it is forecasted for 2020 the same volumes of revenues of the previous year even if we had to manage the pandemic at ww level. \n\nThis projection confirms the positive evolution for the Group in terms of organic growth in Italy and abroad.\nThe increase in economics involves not only volumes but also profitability: Gross Profit growth is driven by top-line increase and slight improvement of margins.\nWe report below the table with Group worldwide highlights.\n\nEBITDA at global level in 2020 was +59,4 mln€.\nThousand Eur  2019 2020\nRevenues 2.567.554 2.522.753\nGross profit 330.634 308.062\nGP % on REV 12,88% 12,21%\n\nThe soundness of the financial structure of the Group is another important measure of evaluation: despite the investment policy, the Group applies a prudent financial management strategy, granting an adequate level of cash & cash equivalents and the availability of sources of borrowings via an adequate quantity of credit lines and through the factoring usage. The Group increased the ratio between medium and long-term investments and the total debt, supporting investment and business development plans. Financial interlocutors are mainly chosen if they have a high credit standing and by limiting the concentration of exposure to such institutions. \nIn the coming years, the Group intends to pursue this growth strategy: a commercial product line which is ever more aimed at the verticalisation and diversification of solutions, assessing acquisitions in strategic countries, with the objective of widening our global presence."
117,Does Gi Group have a G-account?,Gi Group Netherlands has a G-account and can use this if required. We are also SNA-certified and ABU member and therfor are reguarly audited. These and aditional certifications compel us to be a trustworthy partner when it comes to payment and make the use of a G-account not mandatory.
118,"How does Gi Group register leave, absence and holidays of the temporary worker?","Leave, absence and holidays of the temporary worker are first communicated after consultation with the client by our Central Admin Team (CAT)."
119,What is your mission statement?,"As a global player we want to contribute to the evolution of the labor market through our services and emphasize on the personal and social value of work"". Our core values is embedded in our DNA: \n• Work\n• Responsibiliy \n• Care\n• Economic Efficiency\n• Continious Learning and Innovation\n• Team Spirit"
120,Is Gi Group capable of verifying the identity and certification of the temporary worker?,Gi Group checks the identity and certification of all her temporary workers As a member of the ABU we are obliged to strictly follow all the rules and regulations which the Dutch Government requires. Twice a year we are audited and thorouhgly checked if we meet up on all the legal demands. For this Gi Group developed a proces regarding the verification of all kinds of documents. Therefor our files and data are always correct and up-to-date.
121,Can you describe your organisation on an international level?,"Gi Group is one of the global players and leading companies when it comes to HR-services. We combine our expertise and skills of different branches into customised solutions for our clients.\nWith a revenue of 2,52 billion euro in 2020 and a database with over more than 7 million candidates, Gi Group belongs to the largest HR suppliers worldwide.\nWe support over more than 20.000 companies with a focus on Global Corporate companies.\nOur targetsi:    \n• realising a revenue of 6 billion euro in 2024\n• belonging to the top 4 HR companies in Europe\n• being listed in the top 10 of global players\n\nIn 2020 Gi Group was ranged as 6th player in Europe and the 18th player worldwide. We are present in 58 countries and directly established in 31 countries. We have over more than 650 sms-locations and branches and more than 5.500 employees worldwide. \n\n“Today our offer can count on a high degree of specialization and differentiation which aims to respond to the increasingly complex needs of companies and people and, consequently, to create value”. - Stefano Colli-Lanzi, Gi Group oprichter & CEO\n\nGi Group is globaly active in the fields of:\n• Temporary and permanent staffing  \n• Search & Selection \n• Outsourcing \n• Training and developement\n• Executive search\n• Outplacement\n• HR-advice"
122,Can you describe your organisation in The Netherlands?,"Gi Group Netherlands has a nationwide coverage. Regarding temporary labor we mainly focus on corporate companies in Logistics, Production and Customer Care. Through our label Move Up we also are able to provide EU flexworkers. We are part of a worldwide HR service provider which in The Netherlands also supports with her labels Grafton (Recruitment agency) and Fashion & Luxury. We are present at more than 30 locations and our headoffice is located in Amsterdam, just as our branch office.\nWij zijn aanwezig op ruim 30 locaties in heel Nederland. Ons hoofdkantoor is gevestigd in Amsterdam, net als onze branch."
123,"What is your mission statement, vision and what are your core values?","Our core values (since 1998) reflect the evolution we have gone through in the last 22 years and they determine the future direction of Gi Group.\n\nCare: with utmost care we do what we have to so we create value for people and customers and support them with simple and efficient solutions for complex problems.\nPassion: we are passionate about our work and everyone of us is dedicated to meet the needs, ambitions and targets of colleagues, candidates and customers.\nContinuous Learning and Innovation: in a constantly changing world we are driven by curiousity and a sincere wish to learn. Our professional and personal knowledge and competences we share to support the growth and evolution of our organisation and its interested parties.\nCollaboration: we believe that working as a team, cherishing a culture of collaboration, despite the roles, is the way to achieve our ambitious targets and enjoy our work.\nSubstainability: as a growing and developing organisation we appreciate and take into account our human, financial and environmental resources in regard to future generations.\n\nVerantwoordelijkheid: We respecteren mensenrechten en diversiteit; we ondersteunen alle wetgeving die meer bescherming biedt aan werknemers en een actieve rol speelt bij het wegnemen van corruptie en elke vorm van misbruik of illegaal gedrag."
124,Can you describe your culture?,"Our organization and the people who work for us are extremely versatile. We can adapt quickly and easily when changes occur. An example is our response to the outbreak of the pandemic, in which we switched quickly and immediately adjusted our processes. We have also responded proactively to the introduction of the new legislation “Balanced Labor Market Act” by aligning our processes, legal structure and contract forms with this.\nIn addition to the short lines within the organization, everyone in the company is accessible, colleagues are always open to feedback and they are available to help each other. Mutually we bring out the best in people through internal training, by constantly motivating each other, by a critical attitude towards each other and towards ourselves and by applying self-reflection. Everyone is given the space to take their own responsibility, instead of constantly checking whether someone is on the right track. Another important aspect of our corporate culture is that we offer growth opportunities to our employees. We like to give our employees the space to continue to develop themselves at a professional level and stimulate people to climb up within the company or to broaden within a field. Our employees are constantly looking for areas for improvement and for smarter ways to optimize our services. We also find it important that everyone is aware of everything that is happening within the company and that everyone is treated equally, regardless of position or role. In addition, between work there is always room for socializing and for conversations about topics outside of work, which creates a strong team and interpersonal relationships."
125,"How does Gi Group organises training, development and employee satisfaction?","eNPS:\nThe eNPS (Employee Net Promoter Score) is a way to measure employee engagement with the company and find out which aspects you can improve. Our NPS score in 2020 was 39.3. Most companies consider an NPS of 0 to be respectable. A positive NPS is considered good and an NPS of +50 is considered excellent.\n\nWe score best on the following topics:\n• Organizational wellbeing\n• Innovation\n• Trust (in management and colleagues)\n• InvolvementThe HR structure\nHR cycle:\nThe Gi Group HR Cycle consists of a goal setting meeting, a progress meeting and an assessment meeting. The goal-setting meeting and progress meeting are two-sided conversations between the manager and the employee.\n\nIn addition to the interviews that are part of the HR Cycle, managers have a 1 on 1 conversation with the employee every month. This is a two-sided conversation in which everything can be discussed. During these interviews, the manager will discuss with the employee how he or she is developing and which competencies he or she may need to develop further. If necessary, additional coaching or training can be used for this.\n\nGi Group promotes education, courses and training for employees during their careers within the organization because we believe it is important that our employees are well qualified and keep up to date with developments in their field. Gi Group therefore has an annual training program. This includes 10 training courses that our employees can register for. A.o. Agile working, speed reading, mind mapping and PowerPoint. Each year, these training courses are tailored to the needs of our employees and the organization. In addition to the annual training program, individual training courses are also possible."
126,"In what way does Gi Group manage to organise training, development and schooling and keep track of the customer satisfaction?","eNPS:\nThe eNPS (Employee Net Promoter Score) is a way to measure employee engagement with the company and find out which aspects you can improve. Our NPS score in 2020 was 39.3. Most companies consider an NPS of 0 to be respectable. A positive NPS is considered good and an NPS of +50 is considered excellent.\n\nWe score best on the following topics:\n• Organizational wellbeing\n• Innovation\n• Trust (in management and colleagues)\n• InvolvementThe HR structure\nHR cycle:\nThe Gi Group HR Cycle consists of a goal setting meeting, a progress meeting and an assessment meeting. The goal-setting meeting and progress meeting are two-sided conversations between the manager and the employee.\n\nIn addition to the interviews that are part of the HR Cycle, managers have a 1 on 1 conversation with the employee every month. This is a two-sided conversation in which everything can be discussed. During these interviews, the manager will discuss with the employee how he or she is developing and which competencies he or she may need to develop further. If necessary, additional coaching or training can be used for this.\n\nGi Group promotes education, courses and training for employees during their careers within the organization because we believe it is important that our employees are well qualified and keep up to date with developments in their field. Gi Group therefore has an annual training program. This includes 10 training courses that our employees can register for. A.o. Agile working, speed reading, mind mapping and PowerPoint. Each year, these training courses are tailored to the needs of our employees and the organization. In addition to the annual training program, individual training courses are also possible."
127,How is the availability organised for the client?,"We work with our onsite team in shifted shifts between 06:00 and 22:00 and work between 22:00 and 06:00 and with consignment shifts on weekends. As a result, we guarantee 100% accessibility for Clientand our flex workers. As mentioned earlier, we have a Back up in the Back up Team for every position. In an emergency, they will intervene in the consignment services and on-site staffing.\nThe Caretakers are always available 24/7 for our EU flex workers. They will also work in shifts, so that there is an eye for the human side and their private life.\nOur CAT (Central Administration Team) is available during office hours."
128,Can you describe your escalation model?,"Gi Group uses a communication matrix defined at the beginning of the collaboration. In addition, service reviews are held at least once a month. This is also used to check the KPIs and alignment to Service level Agreement. In the figure to the right, we have define the process, when dealing with and escalation. \n\nIn principle, all points of the escalation are processed in level 1 or 2. If there is no solution, the persons involved coordinate the integration of further necessary responsible persons.\nWe offer the Client directly a Senior Account Manager. TheSenior Account Manager is not in the operational line, but works from a helicopter view and acts from Gi Group Holding across the departments and brands. During the implementation phase, he or she will work closely with the Corporate Sales Manager, who takes the lead during the commercial process and therefore knows well what we have agreed and offered."
129,What kind of services does Gi Group provide to ensure quality by using KPI's?,"Services\n\nIn order to offer Clientthe region the desired service, we have determined a team composition and working method, partly on the basis of the information obtained. Mutual trust and the common goal to achieve the KPIs are central to this. The KPIs are a guideline and a compass for good performance, but in the end it is all about Client bringing in and retaining motivated people, with the right mindset. In addition to the hard KPI set, we also focus on the soft criteria to be able to meet the assignment. These two elements; KPIs on the one hand and people's motivation and mindset on the other are closely intertwined. Clienthas recorded many processes in the Flex Handbook, Gi Group will fully conform to this. That is the reason that a number of matters are not discussed in more detail in our action plan, such as consultation structure or KPIs.\nWe see KPIs as part of the toolkit to make increasingly smarter choices together, to keep each other sharp and as indicators to learn from or to identify. From our system, we are able to monitor a set of KPIs digitally and in real-time by means of clear dashboards, which can be fully adapted to the KPI set of Client. Via web portals Client's stakeholders have access to this dashboard, so that the Excel format, which is now used by Client, no longer has to be manually updated."
130,Can you describe your process of planning in practice?,"The success factors for making and executing the planning and pool management are communication (both to each other and to the internal organization, co-supplier and flex workers), and the planning tool\n• 5 days before the schedule is released, the team leaders have access. They must have entered the changes 2 days before the planning is due (think of dividing services, competences and positions according to your own wishes);\n• 4 days in advance we send out the planning for the following week;\n• The team leaders can always see in real time what is happening in the planning. So when we make a proposal for a change, the team leaders watch. We all see one schedule;\n• We distinguish two phases in our planning tool, namely proposal planning and actual planning;\n• After changes, we consult with the team leaders and they can refute changes within 24 hours. In short, we always keep in touch with the team leaders;\n• For each department, we schedule a short operational meeting with the team leaders once a week to discuss the changes;\n• The flex workers receive an email or text message with the services (in coordination with Client e-Commerce);\n• Pool management is organized on the basis of functions and availability;\n• Planning is organized on the basis of departments, teams, positions and competences.\n• Each flex worker receives 9 shifts per 2 weeks, which is an average of 35 hours per week. An extra shift must be requested when planning via the flex worker portal."
131,How can you support and advise the client in other ways?,"The Mysolution planning tool takes into account the applicable collective labor agreement, the Working Hours Act and other laws and regulations. Within the frameworks set by Client e-Commerce, flex employees have the option of self-rostering via PC, tablet and smartphone, with the 24/7 app, in the event of ad-hoc changes. If something changes in one timetable, the other timetables will automatically adjust accordingly. Gi Group advises Clienton planning and pool management on matters such as:\n• Where are the bottlenecks?\n• Where and when is cross training or training necessary?\n• When should recruitment start in order to anticipate peaks in time?\n• How can we improve forecasting together? (based on history)\n• What is the optimal pile composition and size?\n• Which mix of target groups works best per profile and / or department?"
132,How does Gi Group manage upscaling?,"If we have to scale up to 10%, we do this by increasing the capacity on recruitment or we choose to have every flex worker who wishes this work an extra shift within 2 weeks. So instead of running 9 shifts, running 10 shifts and rewarding the flex worker. All laws and regulations are always taken into account. The planning tool is designed for this."
133,How are holiday requests managed?,"Holiday requests must be requested at least 4 weeks in advance via the employee portal. You can easily submit the application in the flex worker portal. Within 3 working days, the flex worker will receive a response with any explanation. This is managed by our by Central Admin Team (CAT)."
